"Últimos Ajustes",Diesel A (R$/litro),Gasolina A (R$/litro)
14/03/2018,"1,7331","1,5537"
13/03/2018,"1,7583","1,5608"
10/03/2018,"1,7301","1,5353"
09/03/2018,"1,7310","1,5458"
08/03/2018,"1,7539","1,5676"
07/03/2018,"1,7645","1,5923"
06/03/2018,"1,7500","1,5842"
03/03/2018,"1,7463","1,5948"
02/03/2018,"1,7495","1,6105"
01/03/2018,"1,8017","1,6023"
28/02/2018,"1,8205","1,5786"
27/02/2018,"1,8030","1,5623"
24/02/2018,"1,7920","1,5607"
23/02/2018,"1,7699","1,5573"
22/02/2018,"1,7598","1,5573"
21/02/2018,"1,7360","1,5432"
20/02/2018,"1,7369","1,5148"
17/02/2018,"1,7112","1,4877"
16/02/2018,"1,7243","1,4660"
10/02/2018,"1,7657","1,5259"
09/02/2018,"1,7698","1,5259"
08/02/2018,"1,8165","1,5732"
